term	file	context
yoyo.pnq	research/newly-recovered/yoyo-obscure-paths/RESULT.md	` -> http://www.theroomz.yoyo.pl:80/paper/high - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/#ffffff - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-lesson-2007.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/AC_RunActiveContent.js - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/sameDomain - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/false - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/hof.swf - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/high - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/hof.htm#000000 - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/female.jpg - `hof-20080502.html` -> htt
/paper/	research/newly-recovered/yoyo-obscure-paths/RESULT.md	1MWI3NjAzMDc4NDhiNyZsYW5ndWFnZT1ubCZhX2lkPTI=&keyword=<%=urlKeyword%>&token=<%=token%> - `danger-map.html` -> http://www.theroomz.yoyo.pl - `danger-map.html` -> http://www.theroomz.yoyo.pl/info/ - `danger-map.html` -> http://www.theroomz.yoyo.pl/ - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/sameDomain - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/BlackAndWhite.swf - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/high - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/#ffffff - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-lesson-2007.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/AC_RunActiveContent.js - `ho
/paper/	research/newly-recovered/yoyo-obscure-paths/RESULT.md	oken=<%=token%> - `danger-map.html` -> http://www.theroomz.yoyo.pl - `danger-map.html` -> http://www.theroomz.yoyo.pl/info/ - `danger-map.html` -> http://www.theroomz.yoyo.pl/ - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/sameDomain - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/BlackAndWhite.swf - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/high - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/#ffffff - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-lesson-2007.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/AC_RunActiveContent.js - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/sameDomain - `hof-20
/paper/	research/newly-recovered/yoyo-obscure-paths/RESULT.md	ap.html` -> http://www.theroomz.yoyo.pl/info/ - `danger-map.html` -> http://www.theroomz.yoyo.pl/ - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/sameDomain - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/BlackAndWhite.swf - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/high - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/#ffffff - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-lesson-2007.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/AC_RunActiveContent.js - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/sameDomain - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/false - `hof-20080502.html` -> 
/paper/	research/newly-recovered/yoyo-obscure-paths/RESULT.md	 -> http://www.theroomz.yoyo.pl/ - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/sameDomain - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/BlackAndWhite.swf - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/high - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/#ffffff - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-lesson-2007.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/AC_RunActiveContent.js - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/sameDomain - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/false - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/hof.swf - `hof-20080502.html` -> h
cannon.txt	research/newly-recovered/yoyo-obscure-paths/contexts.tsv	"source_file timestamp context cannon.txt 20071114203520 CBAKVVASXKF......LFFS.HAJPJ.VND........VQZV.N.IDHSAUJ.U.BZXVPQI.R.DNZVSHA.C.DOGEHXB...APOEZMNBNAWJHD hint: you should download that file or copy it to your own notepad. don't miss any detail! square? danger-root.html 20160504022936 ""button,html input[type=""""button""""],input[type=""""reset""""],input[type=""""submit""""]{-webkit-appearance:button;cursor:pointer;*overflow:visible;}button[disabled],html input[disabled]{cursor:default;}input[type=""""checkbox""""],input[type=""""radio""""]{box-sizing"
Redirect.swf	research/newly-recovered/yoyo-obscure-paths/roomz-2012.html	"r><br> <object classid=""clsid:d27cdb6e-ae6d-11cf-96b8-444553540000"" codebase=""http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0"" width=""150"" height=""50"" id=""Redirect"" align=""middle""> <param name=""allowScriptAccess"" value=""sameDomain"" /> <param name=""movie"" value=""Redirect.swf"" /><param name=""quality"" value=""high"" /><param name=""bgcolor"" value=""#000000"" /><embed src=""Redirect.swf"" quality=""high"" bgcolor=""#000000"" width=""150"" height=""50"" name=""Redirect"" align=""middle"" allowScriptAccess=""sameDomain"" type=""application/x-shockwave-flash"" pluginspage=""http://www.macromedia.com/go/getflashplayer"" /> </object> <script src=""http://www.google-analytics.com/urchin.js"" type=""text/javascript""> </script> <script type=""text/javascript""> _uacct = ""UA-108668-7""; urchinTracker(); </"
Redirect.swf	research/newly-recovered/yoyo-obscure-paths/roomz-2012.html	"a.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0"" width=""150"" height=""50"" id=""Redirect"" align=""middle""> <param name=""allowScriptAccess"" value=""sameDomain"" /> <param name=""movie"" value=""Redirect.swf"" /><param name=""quality"" value=""high"" /><param name=""bgcolor"" value=""#000000"" /><embed src=""Redirect.swf"" quality=""high"" bgcolor=""#000000"" width=""150"" height=""50"" name=""Redirect"" align=""middle"" allowScriptAccess=""sameDomain"" type=""application/x-shockwave-flash"" pluginspage=""http://www.macromedia.com/go/getflashplayer"" /> </object> <script src=""http://www.google-analytics.com/urchin.js"" type=""text/javascript""> </script> <script type=""text/javascript""> _uacct = ""UA-108668-7""; urchinTracker(); </script> <!-- (C) 2000-2009 Gemius SA - gemiusAudience / ver 11.1 / pp.yoyo / strony_firmowe--> <script "
yoyo.pnq	research/newly-recovered/yoyo-obscure-paths/this-root.html	"le>this?</title> <body background=""back.gif""> <center><br><font color=""white""> What you are looking for? </font> <script src=""http://www.google-analytics.com/urchin.js"" type=""text/javascript""></script><script type=""text/javascript"">_uacct = ""UA-1482806-8""; urchinTracker(); </script> <script src=""/yoyo.pnq"" type=""text/javascript""></script> </body> </html>"
hof.swf	research/newly-recovered/yoyo-obscure-paths/hof-20080502.html	"11cf-96b8-444553540000"" codebase=""http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=9,0,0,0"" width=""600"" height=""100"" id=""hof"" align=""middle""> <param name=""allowScriptAccess"" value=""sameDomain"" /> <param name=""allowFullScreen"" value=""false"" /> <param name=""movie"" value=""hof.swf"" /><param name=""quality"" value=""high"" /><param name=""bgcolor"" value=""#000000"" /> <embed src=""hof.swf"" quality=""high"" bgcolor=""#000000"" width=""600"" height=""100"" name=""hof"" align=""middle"" allowScriptAccess=""sameDomain"" allowFullScreen=""false"" type=""application/x-shockwave-flash"" pluginspage=""http://www.macromedia.com/go/getflashplayer"" /> </object> </noscript> <table bgcolor=""black"" cellpadding=""10""> <tr><th width=""80"">Name:</td> <th width=""20""> </td> <th width=""100"">Country:</td> <th width=""8"
