url	error
http://theroomz.org/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://theroomz.org:80/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://theroomz.org/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://theroomz.org/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://theroomz.org/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://theroomz.org:80/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://theroomz.org/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://theroomz.org:80/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.theroomz.org/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://theroomz.org/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.theroomz.org:80/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://www.theroomz.org/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.theroomz.org/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.theroomz.org:80/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://www.theroomz.org/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.theroomz.org/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.theroomz.org:80/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://www.theroomz.org/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamward.home.pl/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamward.home.pl:80/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamward.home.pl/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://dreamward.home.pl/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamward.home.pl/theroomz/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamward.home.pl:80/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamward.home.pl:80/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamward.home.pl/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://dreamward.home.pl/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://dreamward.home.pl/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://dreamward.home.pl/theroomz/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamward.home.pl:80/theroomz/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamward.home.pl/theroomz/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamward.home.pl:80/theroomz/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamward.home.pl:80/theroomz/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://dreamward.home.pl/theroomz/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamward.home.pl/theroomz/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://dreamward.home.pl/theroomz/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamward.home.pl/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamward.home.pl:80/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://www.dreamward.home.pl/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamward.home.pl/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamward.home.pl:80/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamward.home.pl/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://www.dreamward.home.pl/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamward.home.pl:80/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://www.dreamward.home.pl/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamward.home.pl/theroomz/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamward.home.pl:80/theroomz/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamwardgames.com:80/theroomz/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://dreamwardgames.com/theroomz/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamwardgames.com/theroomz/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamwardgames.com:80/theroomz/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://dreamwardgames.com/theroomz/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamwardgames.com/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamwardgames.com:80/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://www.dreamwardgames.com/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamwardgames.com/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamwardgames.com:80/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://www.dreamward.home.pl/theroomz/Check.swf	"RuntimeError(""URLError(TimeoutError('_ssl.c:983: The handshake operation timed out'))"")"
http://www.dreamward.home.pl/theroomz/Check.swf	"RuntimeError(""URLError(TimeoutError('_ssl.c:983: The handshake operation timed out'))"")"
https://www.dreamwardgames.com/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamwardgames.com:80/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamwardgames.com/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamwardgames.com:80/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://dreamwardgames.com:80/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamwardgames.com/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamwardgames.com/theroomz/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamwardgames.com:80/theroomz/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://www.dreamwardgames.com/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://www.dreamwardgames.com/theroomz/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamwardgames.com/theroomz/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamwardgames.com:80/theroomz/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://www.dreamwardgames.com/theroomz/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamwardgames.com/theroomz/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.dreamwardgames.com:80/theroomz/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://www.dreamwardgames.com/theroomz/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
