timestamp	page	raw_reference	resolved_url	snapshot
20070212145101	http://www.theroomz.yoyo.pl:80/roomz.htm	/yoyo.pnq	http://www.theroomz.yoyo.pl:80/yoyo.pnq	research/yoyo-roomz-launch-history/20070212145101__326006a09afd__roomz.htm
20070212145101	http://www.theroomz.yoyo.pl:80/roomz.htm	RoomzMain.swf	http://www.theroomz.yoyo.pl:80/RoomzMain.swf	research/yoyo-roomz-launch-history/20070212145101__326006a09afd__roomz.htm
20070212145101	http://www.theroomz.yoyo.pl:80/roomz.htm	back.gif	http://www.theroomz.yoyo.pl:80/back.gif	research/yoyo-roomz-launch-history/20070212145101__326006a09afd__roomz.htm
20070212145101	http://www.theroomz.yoyo.pl:80/roomz.htm	http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP9lo29grv5bqT18B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8MQVjMzExMQSvBGEwAGEyMwEyMwRkZwqyMQH1ZQDkLGRjATSvMzAuLKj7sQNhZv4jsQg8ZUj7sQR=	http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP9lo29grv5bqT18B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8MQVjMzExMQSvBGEwAGEyMwEyMwRkZwqyMQH1ZQDkLGRjATSvMzAuLKj7sQNhZv4jsQg8ZUj7sQR=	research/yoyo-roomz-launch-history/20070212145101__326006a09afd__roomz.htm
20070212145101	http://www.theroomz.yoyo.pl:80/roomz.htm	http://t.yoyo.pl/pure.js	http://t.yoyo.pl/pure.js	research/yoyo-roomz-launch-history/20070212145101__326006a09afd__roomz.htm
20070220112512	http://www.theroomz.yoyo.pl:80/roomz.htm	/yoyo.pnq	http://www.theroomz.yoyo.pl:80/yoyo.pnq	research/yoyo-roomz-launch-history/20070220112512__eba64f669c7c__roomz.htm
20070220112512	http://www.theroomz.yoyo.pl:80/roomz.htm	RoomzMain.swf	http://www.theroomz.yoyo.pl:80/RoomzMain.swf	research/yoyo-roomz-launch-history/20070220112512__eba64f669c7c__roomz.htm
20070220112512	http://www.theroomz.yoyo.pl:80/roomz.htm	back.gif	http://www.theroomz.yoyo.pl:80/back.gif	research/yoyo-roomz-launch-history/20070220112512__eba64f669c7c__roomz.htm
20070220112512	http://www.theroomz.yoyo.pl:80/roomz.htm	http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP9lo29grv5bqT18B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8AzMxZJAxLwqzZmLlAGV1BJR3AmHmBQN0BQx1AGHjLJIzAzAwZwpkAUj7sQNhZv4jsQg8ZUj7sQR=	http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP9lo29grv5bqT18B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8AzMxZJAxLwqzZmLlAGV1BJR3AmHmBQN0BQx1AGHjLJIzAzAwZwpkAUj7sQNhZv4jsQg8ZUj7sQR=	research/yoyo-roomz-launch-history/20070220112512__eba64f669c7c__roomz.htm
20070220112512	http://www.theroomz.yoyo.pl:80/roomz.htm	http://t.yoyo.pl/pure.js	http://t.yoyo.pl/pure.js	research/yoyo-roomz-launch-history/20070220112512__eba64f669c7c__roomz.htm
20070227224047	http://www.theroomz.yoyo.pl:80/roomz.htm	/yoyo.pnq	http://www.theroomz.yoyo.pl:80/yoyo.pnq	research/yoyo-roomz-launch-history/20070227224047__96dc42201988__roomz.htm
20070227224047	http://www.theroomz.yoyo.pl:80/roomz.htm	RoomzMain.swf	http://www.theroomz.yoyo.pl:80/RoomzMain.swf	research/yoyo-roomz-launch-history/20070227224047__96dc42201988__roomz.htm
20070227224047	http://www.theroomz.yoyo.pl:80/roomz.htm	back.gif	http://www.theroomz.yoyo.pl:80/back.gif	research/yoyo-roomz-launch-history/20070227224047__96dc42201988__roomz.htm
