discovered_url	timestamp	archived_original	status	mimetype	length	digest
http://ad.yoyo.pl/img/kill.png	20130211212451	http://ad.yoyo.pl/img/kill.png	200	image/png	1034	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130213025546	http://ad.yoyo.pl/img/kill.png	200	image/png	1026	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130213084233	http://ad.yoyo.pl/img/kill.png	200	image/png	1030	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130214014944	http://ad.yoyo.pl/img/kill.png	200	image/png	1023	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130214171322	http://ad.yoyo.pl/img/kill.png	200	image/png	1026	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130217153638	http://ad.yoyo.pl/img/kill.png	200	image/png	1025	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130218031339	http://ad.yoyo.pl/img/kill.png	200	image/png	1031	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130218164741	http://ad.yoyo.pl/img/kill.png	200	image/png	1032	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130222111354	http://ad.yoyo.pl/img/kill.png	200	image/png	1031	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130223193818	http://ad.yoyo.pl/img/kill.png	200	image/png	1034	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130228193359	http://ad.yoyo.pl/img/kill.png	200	image/png	1023	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130301114313	http://ad.yoyo.pl/img/kill.png	200	image/png	1032	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130301225949	http://ad.yoyo.pl/img/kill.png	200	image/png	1206	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130305143806	http://ad.yoyo.pl/img/kill.png	200	image/png	992	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130306132636	http://ad.yoyo.pl/img/kill.png	200	image/png	992	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130307182501	http://ad.yoyo.pl/img/kill.png	200	image/png	989	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130308103227	http://ad.yoyo.pl/img/kill.png	200	image/png	993	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130308153005	http://ad.yoyo.pl/img/kill.png	200	image/png	995	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130309071507	http://ad.yoyo.pl/img/kill.png	200	image/png	995	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130310092243	http://ad.yoyo.pl/img/kill.png	200	image/png	993	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130311212854	http://ad.yoyo.pl/img/kill.png	200	image/png	996	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130313104200	http://ad.yoyo.pl/img/kill.png	200	image/png	994	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130318130858	http://ad.yoyo.pl/img/kill.png	200	image/png	994	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130318210825	http://ad.yoyo.pl/img/kill.png	200	image/png	995	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130319101006	http://ad.yoyo.pl/img/kill.png	200	image/png	991	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130320142542	http://ad.yoyo.pl/img/kill.png	200	image/png	993	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130323153215	http://ad.yoyo.pl/img/kill.png	200	image/png	996	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130324135952	http://ad.yoyo.pl/img/kill.png	200	image/png	995	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130325162432	http://ad.yoyo.pl/img/kill.png	200	image/png	996	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130325202210	http://ad.yoyo.pl/img/kill.png	200	image/png	993	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130326184609	http://ad.yoyo.pl/img/kill.png	200	image/png	992	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130327234244	http://ad.yoyo.pl/img/kill.png	200	image/png	996	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130328202413	http://ad.yoyo.pl/img/kill.png	200	image/png	989	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130330052444	http://ad.yoyo.pl/img/kill.png	200	image/png	996	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130330162622	http://ad.yoyo.pl/img/kill.png	200	image/png	996	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130402071511	http://ad.yoyo.pl/img/kill.png	200	image/png	995	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130409044951	http://ad.yoyo.pl/img/kill.png	200	image/png	995	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130410140303	http://ad.yoyo.pl/img/kill.png	200	image/png	995	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130410162014	http://ad.yoyo.pl/img/kill.png	200	image/png	994	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130410192247	http://ad.yoyo.pl/img/kill.png	200	image/png	994	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130413220906	http://ad.yoyo.pl/img/kill.png	200	image/png	995	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130414123207	http://ad.yoyo.pl/img/kill.png	200	image/png	997	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130415144705	http://ad.yoyo.pl/img/kill.png	200	image/png	997	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130417172450	http://ad.yoyo.pl/img/kill.png	200	image/png	995	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130418083646	http://ad.yoyo.pl/img/kill.png	200	image/png	991	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130420110700	http://ad.yoyo.pl/img/kill.png	200	image/png	994	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130420232128	http://ad.yoyo.pl/img/kill.png	200	image/png	996	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130421184428	http://ad.yoyo.pl/img/kill.png	200	image/png	996	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130423074339	http://ad.yoyo.pl/img/kill.png	200	image/png	996	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130423094215	http://ad.yoyo.pl/img/kill.png	200	image/png	996	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130423173125	http://ad.yoyo.pl/img/kill.png	200	image/png	996	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130424101521	http://ad.yoyo.pl/img/kill.png	-	warc/revisit	482	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130424193345	http://ad.yoyo.pl/img/kill.png	200	image/png	995	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130425121614	http://ad.yoyo.pl/img/kill.png	200	image/png	992	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130425215017	http://ad.yoyo.pl/img/kill.png	200	image/png	992	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130426111258	http://ad.yoyo.pl/img/kill.png	200	image/png	997	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130426234115	http://ad.yoyo.pl/img/kill.png	200	image/png	997	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130427141602	http://ad.yoyo.pl/img/kill.png	200	image/png	997	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130427231707	http://ad.yoyo.pl/img/kill.png	200	image/png	997	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130428134853	http://ad.yoyo.pl/img/kill.png	200	image/png	994	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130428214157	http://ad.yoyo.pl/img/kill.png	200	image/png	997	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130429202455	http://ad.yoyo.pl/img/kill.png	200	image/png	995	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130430075339	http://ad.yoyo.pl/img/kill.png	200	image/png	994	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130430162731	http://ad.yoyo.pl/img/kill.png	200	image/png	995	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130501140732	http://ad.yoyo.pl/img/kill.png	200	image/png	992	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130502054908	http://ad.yoyo.pl/img/kill.png	200	image/png	986	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130502140753	http://ad.yoyo.pl/img/kill.png	200	image/png	987	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130503131304	http://ad.yoyo.pl/img/kill.png	200	image/png	989	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130503175357	http://ad.yoyo.pl/img/kill.png	200	image/png	990	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130504165620	http://ad.yoyo.pl/img/kill.png	200	image/png	989	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130506083657	http://ad.yoyo.pl/img/kill.png	200	image/png	989	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130506184826	http://ad.yoyo.pl/img/kill.png	200	image/png	987	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130509092155	http://ad.yoyo.pl/img/kill.png	200	image/png	985	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130510091951	http://ad.yoyo.pl/img/kill.png	200	image/png	992	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130512073633	http://ad.yoyo.pl/img/kill.png	200	image/png	993	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130512152326	http://ad.yoyo.pl/img/kill.png	200	image/png	993	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130512195533	http://ad.yoyo.pl/img/kill.png	200	image/png	994	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130513054647	http://ad.yoyo.pl/img/kill.png	200	image/png	990	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
