topic_id	mapped_title	timestamp	url	context
6	Announcement: All about THE ROOMZ project	20070314005339	http://theroomz.19.forumer.com/	
6	Announcement: All about THE ROOMZ project	20070314005339	http://theroomz.yoyo.pl/logo.jpg	
6	Announcement: All about THE ROOMZ project	20070314005339	http://theroomz.yoyo.pl/	
6	Announcement: All about THE ROOMZ project	20070314005339	http://theroomz.yoyo.pl	
7	Sticky: Funny Thing	20070317013629	http://theroomz.19.forumer.com/	
7	Sticky: Funny Thing	20070317013629	http://theroomz.yoyo.pl/logo.jpg	
7	Sticky: Funny Thing	20070317013629	http://theroomz.yoyo.pl	
8	Sticky: How to register on the foroom?	20070316024136	http://theroomz.19.forumer.com/	
8	Sticky: How to register on the foroom?	20070316024136	http://theroomz.yoyo.pl/logo.jpg	
8	Sticky: How to register on the foroom?	20070316024136	http://theroomz.yoyo.pl	
14	1	20080213040904	http://theroomz.yoyo.pl/logo2.jpg	
14	1	20080213040904	http://theroomz.yoyo.pl/scr/angelav.jpg	
14	1	20080213040904	http://theroomz.org	
14	1	20080213040904	http://www.theroomz.org	
14	1	20080213040904	http://theroomz.yoyo.pl	
14	1	20080213040904	http://theroomz.19.forumer.com/viewtopic.php?t=14&start=25&postdays=0&postorder=asc&highlight=	
14	1	20080213040904	http://www.trialpay.com/stores/forumer/adremoval30000?tid=6rGU5Yo&sid=theroomz	
14	1	20080213033107	http://theroomz.19.forumer.com/viewtopic.php?t=14&postdays=0&postorder=asc&start=0	
14	1	20080213040832	http://theroomz.19.forumer.com/viewtopic.php?t=14&postdays=0&postorder=asc&start=125	
73	Name of the song	20070315230908	http://theroomz.19.forumer.com/	
73	Name of the song	20070315230908	http://theroomz.yoyo.pl/logo.jpg	
73	Name of the song	20070315230908	http://theroomz.yoyo.pl	
14	1	20080213040828	http://theroomz.19.forumer.com/viewtopic.php?t=14&postdays=0&postorder=asc&start=100	
14	1	20080213040843	http://www.theroomz.yoyo.pl/scr/ban.gif	
14	1	20080213040843	http://theroomz.19.forumer.com/viewtopic.php?t=14&postdays=0&postorder=asc&start=175	
14	1	20080213040838	http://theroomz.19.forumer.com/viewtopic.php?t=14&postdays=0&postorder=asc&start=150	
60	8	20110731044014	http://theroomz.yoyo.pl/logo2.jpg	
60	8	20110731044014	http://theroomz.org	
60	8	20110731044014	http://www.theroomz.org	
60	8	20110731044014	http://www.forumer.com/contact.php?abuse=http%3A%2F%2Ftheroomz.19.forumer.com	
60	8	20110731044014	http://www.trialpay.com/stores/forumer/adremoval30000?tid=6rGU5Yo&sid=theroomz	
14	1	20080213040854	http://theroomz.19.forumer.com/viewtopic.php?t=14&postdays=0&postorder=asc&start=225	
10	8	20080208154158	http://theroomz.yoyo.pl/logo2.jpg	
10	8	20080208154158	http://theroomz.yoyo.pl/scr/angelav.jpg	
10	8	20080208154158	http://theroomz.org	
10	8	20080208154158	http://www.theroomz.org	
10	8	20080208154158	http://theroomz.yoyo.pl	
10	8	20080208154158	http://theroomz.19.forumer.com/viewtopic.php?t=10&start=0	
10	8	20080208154158	http://www.trialpay.com/stores/forumer/adremoval30000?tid=6rGU5Yo&sid=theroomz	
14	1	20080213040848	http://theroomz.19.forumer.com/viewtopic.php?t=14&postdays=0&postorder=asc&start=200	
14	1	20080213040859	http://theroomz.19.forumer.com/viewtopic.php?t=14&postdays=0&postorder=asc&start=75	
11	11	20080208154235	http://theroomz.yoyo.pl/logo2.jpg	
11	11	20080208154235	http://theroomz.yoyo.pl/scr/angelav.jpg	
11	11	20080208154235	http://theroomz.org	
11	11	20080208154235	http://www.theroomz.org	
11	11	20080208154235	http://theroomz.yoyo.pl	
11	11	20080208154235	http://theroomz.19.forumer.com/viewtopic.php?t=11&start=0	
11	11	20080208154235	http://www.trialpay.com/stores/forumer/adremoval30000?tid=6rGU5Yo&sid=theroomz	
109	1	20080208154216	http://theroomz.yoyo.pl/logo2.jpg	
109	1	20080208154216	http://theroomz.yoyo.pl/scr/angelav.jpg	
109	1	20080208154216	http://theroomz.org	
109	1	20080208154216	http://www.theroomz.org	
109	1	20080208154216	http://theroomz.19.forumer.com/viewtopic.php?t=109&start=0	
