topic_id	timestamp	original	error
39	20080208155452	http://theroomz.19.forumer.com:80/viewtopic.php?t=39&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
38	20080208155431	http://theroomz.19.forumer.com:80/viewtopic.php?t=38&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
41	20080208155512	http://theroomz.19.forumer.com:80/viewtopic.php?t=41&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
141	20080208154602	http://theroomz.19.forumer.com:80/viewtopic.php?t=141&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
236	20080208155226	http://theroomz.19.forumer.com:80/viewtopic.php?t=236&start=100&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
215	20080208155135	http://theroomz.19.forumer.com:80/viewtopic.php?t=215&start=100&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
34	20080208155336	http://theroomz.19.forumer.com:80/viewtopic.php?t=34&start=100&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
308	20080208155256	http://theroomz.19.forumer.com:80/viewtopic.php?t=308&start=100&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
5	20080208155633	http://theroomz.19.forumer.com:80/viewtopic.php?t=5&start=100&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
60	20080208155754	http://theroomz.19.forumer.com:80/viewtopic.php?t=60&start=100&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
78	20080208155849	http://theroomz.19.forumer.com:80/viewtopic.php?t=78&start=100&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
34	20080208155341	http://theroomz.19.forumer.com:80/viewtopic.php?t=34&start=125&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
121	20080208154325	http://theroomz.19.forumer.com:80/viewtopic.php?t=121&start=150&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
15	20080208154647	http://theroomz.19.forumer.com:80/viewtopic.php?t=15&start=150&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
139	20080208154531	http://theroomz.19.forumer.com:80/viewtopic.php?t=139&start=125&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
11	20080208154250	http://theroomz.19.forumer.com:80/viewtopic.php?t=11&start=225&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
126	20080208154421	http://theroomz.19.forumer.com:80/viewtopic.php?t=126&start=200&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
13	20080208154456	http://theroomz.19.forumer.com:80/viewtopic.php?t=13&start=200&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
38	20080208155446	http://theroomz.19.forumer.com:80/viewtopic.php?t=38&start=175&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
36	20080208155356	http://theroomz.19.forumer.com:80/viewtopic.php?t=36&start=25&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
37	20080208155416	http://theroomz.19.forumer.com:80/viewtopic.php?t=37&start=25&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
41	20080208155522	http://theroomz.19.forumer.com:80/viewtopic.php?t=41&start=25&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
46	20080208155539	http://theroomz.19.forumer.com:80/viewtopic.php?t=46&start=25&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
48	20080208155558	http://theroomz.19.forumer.com:80/viewtopic.php?t=48&start=25&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
76	20080208155834	http://theroomz.19.forumer.com:80/viewtopic.php?t=76&start=25&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error _ssl.c:983: The handshake operation timed out>')
17	20080208155022	http://theroomz.19.forumer.com:80/viewtopic.php?t=17&start=50&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
215	20080208155141	http://theroomz.19.forumer.com:80/viewtopic.php?t=215&start=50&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
141	20080208154611	http://theroomz.19.forumer.com:80/viewtopic.php?t=141&start=50&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
227	20080208155200	http://theroomz.19.forumer.com:80/viewtopic.php?t=227&start=50&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
165	20080208205610	http://theroomz.19.forumer.com:80/viewtopic.php?t=165&start=50&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
61	20080208155822	http://theroomz.19.forumer.com:80/viewtopic.php?t=61&start=50&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
16	20080208154803	http://theroomz.19.forumer.com:80/viewtopic.php?t=16&start=75&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
34	20080208155346	http://theroomz.19.forumer.com:80/viewtopic.php?t=34&start=75&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
37	20080208155426	http://theroomz.19.forumer.com:80/viewtopic.php?t=37&start=75&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
46	20080208155548	http://theroomz.19.forumer.com:80/viewtopic.php?t=46&start=75&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
6	20070312090200	http://theroomz.19.forumer.com:80/viewtopic.php?t=6&	RuntimeError('<urlopen error [Errno 111] Connection refused>')
8	20070313150435	http://theroomz.19.forumer.com:80/viewtopic.php?t=8&	RuntimeError('<urlopen error [Errno 111] Connection refused>')
14	20080209131606	http://theroomz.19.forumer.com:80/viewtopic.php?t=14&postdays=0&postorder=asc&start=125	RuntimeError('<urlopen error [Errno 111] Connection refused>')
14	20080209131626	http://theroomz.19.forumer.com:80/viewtopic.php?t=14&postdays=0&postorder=asc&start=225	RuntimeError('<urlopen error [Errno 111] Connection refused>')
14	20080212195445	http://theroomz.19.forumer.com:80/viewtopic.php?t=14&postdays=0&postorder=asc&start=50	RuntimeError('<urlopen error [Errno 111] Connection refused>')
14	20080209131637	http://theroomz.19.forumer.com:80/viewtopic.php?t=14&postdays=0&postorder=asc&start=75	RuntimeError('<urlopen error [Errno 111] Connection refused>')
60	20110731043953	http://theroomz.19.forumer.com/viewtopic.php?t=60&postdays=0&postorder=asc&start=75	RuntimeError('<urlopen error [Errno 111] Connection refused>')
8	20110912234542	http://theroomz.19.forumer.com:80/viewtopic.php?t=8	RuntimeError('<urlopen error [Errno 111] Connection refused>')
98	20120215135356	http://theroomz.19.forumer.com:80/viewtopic.php?t=98	RuntimeError('<urlopen error [Errno 111] Connection refused>')
